Factor,Coefficient,P_Value,CI_Lower,CI_Upper,Significant
Intercept,8.1619,0.0,7.054,9.2698,Yes
C(address)[T.U],0.689,0.1179,-0.1753,1.5534,No
Medu,0.7208,0.0,0.3918,1.0498,Yes
